Drug_wlkffqozug : (Drug_ueahriohcd,Eff_gaftvdwbrs) 
Drug_brdaspfpyd : (Drug_wnhaotuoil,Eff_nrwlwygmrs) ; (Drug_orgionmbbh,Eff_ockmslasmn) 
Drug_qxmvhfclbf : (Drug_spsmpilelp,Eff_opkupwkrnp) 
Drug_evyinpyonx : (Drug_wiclyfcake,Eff_kxmcidkdwl) 
Drug_vlhvicmgab : (Drug_gwqcabezbv,Eff_gzrjvcbxmy) 
Drug_kzunjpfgxs : (Drug_vsxmbpuidj,Eff_ymdkoiknef) 
Drug_zyiiuzxxyo : (Drug_meshhcqzqt,Eff_rftswnikiy) 
Drug_bgyfpgxnww : (Drug_qisjchzzpv,Eff_betradrscq) 
Drug_eikrvpmlir : (Drug_rlnivtyvqz,Eff_mhqexofirx) 
Drug_umuzpnxccm : (Drug_mtvwnyenvb,Eff_ebcezmwjfz) 
Drug_opthusqfeg : (Drug_ebeegpgoop,Eff_qcelnmmvuw) 
Drug_pbnnsrmqob : (Drug_lkzewlyxeb,Eff_rgludjeswy) 
Drug_chvstphhea : (Drug_abkaknaeei,Eff_qzqlxeetim) 
Drug_dedvxaxxcq : (Drug_kvhwaydkqi,Eff_auxodnwzzd) 
Drug_umhbnplcre : (Drug_oecpgqrzoh,Eff_yyqbwjzfct) 
Drug_trxeiwnklb : (Drug_euzaotmsbe,Eff_lotjifpslj) 
Drug_tgekjnamii : (Drug_dnelqghvoe,Eff_rvxjkssheg) 
Drug_fodpxooddl : (Drug_lgooesgzhq,Eff_jdhmxljwcw) 
Drug_kagbucozji : (Drug_ogjuklpilh,Eff_iqxpnmwtwh) 
Drug_ribzusalms : (Drug_bfrbadjkiw,Eff_fgzfeuhnal) 
Drug_uvroyxwihy : (Drug_iylchfwqna,Eff_zcqoyrqrkb) 
Drug_aidlrbyepl : (Drug_jctjputcve,Eff_xwjguiawmn) 
Drug_marhfivwai : (Drug_jlkimdnecm,Eff_gcfwypmaxp) 
Drug_frvggkuqyc : (Drug_rvzqvyppeg,Eff_gtvaoildva) 
Drug_rsuguotvzh : (Drug_erxmvvhoyb,Eff_esnfrxhdrf) 
Drug_jkixcihfnt : (Drug_jpaoklhozg,Eff_xbgehbbreh) 
Drug_hubgebkxdl : (Drug_jsgcgsqwcy,Eff_hptcsemyvk) 
Drug_kmxfpxvhde : (Drug_rebhvegall,Eff_ifpyzfpxnz) 
Drug_fbbpyfidkm : (Drug_qqcobvbwfu,Eff_gybvachsqb) 
Drug_pfugvpvbzf : (Drug_kdysmhsfwj,Eff_weupfgarnk) 
Drug_uzkhbtwjfv : (Drug_dummizwrup,Eff_ngthzgavcf) 
Drug_wzxpbyalyp : (Drug_dhkvlnhoru,Eff_nokslfpldb) 
Drug_pkzngbrffj : (Drug_gvshsljisj,Eff_znmsapjkpf) 
Drug_yltxoignhz : (Drug_twazioxofr,Eff_dtcnfyohen) 
Drug_lkslslrdnd : (Drug_vpgsubdcfd,Eff_ytwdnoontb) 
Drug_mjujuiwjmu : (Drug_rrwlayoscs,Eff_xilypastnx) 
Drug_aebgkzntgw : (Drug_qosgigvbog,Eff_aolbejflgv) 
Drug_nfaeqjwlah : (Drug_ceemmasxzo,Eff_vprwgdxmjt) 
Drug_ccacbygmik : (Drug_bejcuiqdwa,Eff_vmuctysoym) 
Drug_ssfigdgrbp : (Drug_pwtejniisi,Eff_ykxegbrgoe) 
Drug_swehtgmcry : (Drug_bdmaxwbmqv,Eff_ucfpkplnzs) 
Drug_cdpvbtsofu : (Drug_rvwdqthget,Eff_rbmkvebatf) 
Drug_wmsntedwgs : (Drug_lvnoqtmmpf,Eff_wjmusvzjlv) 
Drug_qltugtlvhh : (Drug_xdtredagcx,Eff_upailicikl) 
Drug_gzzeairhcm : (Drug_wqvnqealtj,Eff_sjgahitofr) ; (Drug_ejtslivblo,Eff_ntvcmqbikk) 
Drug_efyifcgpbo : (Drug_galyvlxaps,Eff_qiltcwnafw) 
Drug_gbzjzadjoh : (Drug_wrhgewauhr,Eff_chpjagmtjy) 
Drug_tnovmluenb : (Drug_lmzpnabyqm,Eff_bxykqjuwao) 
Drug_cxuqturusv : (Drug_wqdcrshaby,Eff_hzasyobzwi) 
Drug_nhiywrbbxj : (Drug_xhdijwpkbg,Eff_krzavrwmfy) 
Drug_zzuachfrim : (Drug_crakjhepor,Eff_kchzadffbv) 
Drug_fbieadjhem : (Drug_ohihvsrnco,Eff_uxhirrzzyw) 
Drug_zxxffpjaxb : (Drug_jejrknljji,Eff_qcodxlanir) 
Drug_yhmagbskej : (Drug_fsrrkxwasd,Eff_dyxrizedhn) 
Drug_paupvlsycz : (Drug_bjjynlyifw,Eff_swkbwchkfa) 
Drug_gnwbfmejea : (Drug_nhrsdvljpi,Eff_zeianhlmog) 
Drug_cotlldqwly : (Drug_gzkqgmxvtk,Eff_rgibrdlnbg) 
Drug_vpyuvugrez : (Drug_ikcsqokkzl,Eff_bjbwrgxypb) 
Drug_dkdtjnlnko : (Drug_euexqjouoc,Eff_aganuopaku) 
Drug_olphtdpdqr : (Drug_xmwbymfvnz,Eff_iiheimtrom) 
Drug_pxouyeenru : (Drug_wbznvnumax,Eff_ghnhpxvcyh) ; (Drug_zrrzxvkxps,Eff_dhxuhsatwv) 
Drug_naybfstdro : (Drug_ewbmlkqjgq,Eff_oovsivwdwg) ; (Drug_pyfzazkbwk,Eff_wakyuckfmb) 
Drug_dcatrvcyai : (Drug_yfsirtesvy,Eff_gaaieoalii) 
Drug_gyllcfmfxf : (Drug_kjxgxnxrrr,Eff_unxxkystwy) 
Drug_zhiktaowdy : (Drug_unboacrovl,Eff_rijvclkqpo) 
Drug_ifbjewofsj : (Drug_lvdgqnprvv,Eff_ygxskljbba) 
Drug_evdhrgdieq : (Drug_qcholjxbbg,Eff_dfecukqeit) 
Drug_odnosxtavv : (Drug_xqmkuokbgm,Eff_sthrcqqrco) 
Drug_opazeitvzl : (Drug_gvjtjmnxpf,Eff_joyntenaas) 
Drug_urphqvlupg : (Drug_psdhdqowmb,Eff_mlfkqkovtf) 
Drug_luvumozvhx : (Drug_lrekqsyqyb,Eff_rlfzssrwqc) 
Drug_ndbzrudyyp : (Drug_fvzpmhoplb,Eff_jxtlsmphip) 
Drug_ulbbbiznhc : (Drug_vxaihfjfva,Eff_gklcsajlpx) 
Drug_hbnvogiyuu : (Drug_qllbwckswx,Eff_mhxnepvtpj) 
Drug_hnmtodirfw : (Drug_jwbhlusnnp,Eff_yqtzxzhdxo) 
Drug_qxynefyvog : (Drug_egshnubnbf,Eff_bfzxgxlkrj) 
Drug_wxleripwvn : (Drug_lrjnuzrtjd,Eff_qkvksusdde) 
Drug_goomngmxkh : (Drug_jauqloysfe,Eff_qghabtrsnp) 
Drug_jfyisjewdp : (Drug_xhkaizwjxo,Eff_ckbvriiiao) 
Drug_nhtvszjevz : (Drug_yxtsxxxkuw,Eff_jwkspwymky) 
Drug_ryhjuibsqj : (Drug_snrgpxziqd,Eff_zruuxcvvva) 
Drug_azqtqauihj : (Drug_hdlaolnwdq,Eff_tymtcwzufd) 
Drug_gozawzyptz : (Drug_atxacaigzp,Eff_ubessmllqd) 
Drug_woqkaqzrpk : (Drug_wryzzbdqyy,Eff_hngutgfgfl) 
Drug_bkndytzuwm : (Drug_otzxhwlpuz,Eff_qvopenykhj) 
Drug_pahjrxycwn : (Drug_kekpjxahju,Eff_iupsneaxot) 
Drug_uocztlogkh : (Drug_jxbulukehb,Eff_jrwvlbjjkq) 
Drug_cmyuvtwamj : (Drug_pnvyefwddd,Eff_pqcyphmfmf) 
Drug_jfhvjlmiyq : (Drug_yxsaqnftzx,Eff_wpfnwaiywg) 
Drug_zsiczmlnvg : (Drug_cugwcpbxqu,Eff_svnomenjeh) 
Drug_hihrxtxjbc : (Drug_hamepugeeg,Eff_ktaumrrsuo) 
Drug_moewvoopwf : (Drug_ipmjfdrdvn,Eff_yvxtkfcypi) 
Drug_jcfpkliyxf : (Drug_abzpepajgs,Eff_wbpgkehgqk) 
Drug_gxwfyxasry : (Drug_jwxxtstnzt,Eff_zelhuqfuys) 
Drug_skokettxml : (Drug_zqbgatfvbu,Eff_enhuzalwvo) ; (Drug_yvpcmiyskz,Eff_yercdgkbuo) 
Drug_ihzrjerfax : (Drug_lthvekezvb,Eff_mqmxmmqknx) 
Drug_ivtqnnmuov : (Drug_hrcwghvmyv,Eff_kazwuyxeqv) 
Drug_deuzhhmjou : (Drug_rflddfrwbh,Eff_sxujzgtmda) 
Drug_grgpgpdgdh : (Drug_ixquqexmfz,Eff_chbfjwxaxi) ; (Drug_zcgavlqexa,Eff_jpkeqrnedn) ; (Drug_khahiiehip,Eff_axxaqbxhjx) 
Drug_bmfmkkijvd : (Drug_uzkqkzuhmc,Eff_ftuxbwehpn) 
Drug_rsjbpabmfh : (Drug_elmymwuwlu,Eff_pqozeiuzkm) 
Drug_zrawvqvgfr : (Drug_zqhgmdkutd,Eff_zmqlhgvfpb) 
Drug_zmqadfvvwv : (Drug_eknlyxjrpk,Eff_ncppczxeip) ; (Drug_kakodsgncg,Eff_plkbzpeqio) 
Drug_niampumsgo : (Drug_eojdlbgjsc,Eff_qjhtejwscm) 
Drug_fffbvdizmc : (Drug_docxustpia,Eff_hwknzrgmvr) 
Drug_zflkflxera : (Drug_ccsvgtnmyu,Eff_xnhmzonkuw) 
Drug_hjgrrqvuwk : (Drug_kgyxjekbzo,Eff_nmfqlhvxcu) 
Drug_wmrnqidjpw : (Drug_ikrabmqdxv,Eff_gspovaajgp) 
Drug_jcnyvkwced : (Drug_wcdfuctnji,Eff_bflahxgazv) 
Drug_dsfpvcnemy : (Drug_bwgfgactdn,Eff_mkayfvqiia) 
Drug_cpdwtuslfy : (Drug_fqvonuqlti,Eff_vnywkczzcw) 
Drug_mrawavcxng : (Drug_cliewhhwdr,Eff_yimbfgywiu) 
Drug_sshxmxpdfo : (Drug_pznqaduokb,Eff_exrtkfgvfw) 
Drug_wbppdghwcn : (Drug_pgytypixcg,Eff_uthbkebfoe) 
Drug_tnygwurkcg : (Drug_fdqnmttode,Eff_zaejkubhoe) 
Drug_spucrsslba : (Drug_cvkclicboz,Eff_tqsqdxaqie) 
Drug_vgjdbiqwsj : (Drug_jxdfbkpeqh,Eff_rlatbfefbt) 
Drug_bhvegyitdz : (Drug_bszmdkvqra,Eff_rekcdadkvu) 
Drug_delljwrnfz : (Drug_swgkorggjp,Eff_bgkqlbnwmk) 
Drug_wsviimhrmz : (Drug_qfdefvncvx,Eff_icrxqndzke) 
Drug_szgbwgzrol : (Drug_fbqxwhsxep,Eff_acaqtfnehl) 
Drug_ivdmqyyxar : (Drug_fburmvjbdv,Eff_dqvmsweqhd) 
Drug_uutxhqpebq : (Drug_hqjhboyuim,Eff_aocjfqqotq) 
Drug_enjqkrpnzz : (Drug_xjlvbuxugk,Eff_diqefifwdi) 
Drug_enchlxlenf : (Drug_lrwzwjdijp,Eff_otugblxdlx) 
Drug_jywnynqxpu : (Drug_cvrznkljcl,Eff_jdgdevcsfw) 
Drug_ylfpctwnhm : (Drug_copyywbsdr,Eff_rxjacahsww) 
Drug_fwcbcolnbt : (Drug_pxlcjvicar,Eff_slgyweyukk) 
Drug_eanhdrudqb : (Drug_kxviflofyl,Eff_qnqbwxnvks) 
Drug_iphxebfaee : (Drug_oergvkezzf,Eff_jrsogcekce) 
Drug_zabfehtfcg : (Drug_nupshfgeug,Eff_epcghftmcn) 
Drug_ryvwjtkeqs : (Drug_ebancdrnzh,Eff_dbctjldnkd) 
Drug_qsgvnagiqk : (Drug_bhvayhnwca,Eff_qllffxtqnm) 
Drug_ignihtybpa : (Drug_hxeklaeqoc,Eff_rypcrpfzwa) 
Drug_trxextznlg : (Drug_efcwmzbnko,Eff_tbgefpmgcc) 
Drug_dvtrzkxtku : (Drug_mfxsflvyym,Eff_fodsleuowu) 
Drug_zyievsmexv : (Drug_rksdrcibkl,Eff_psqrxpbldb) 
Drug_brpwubwaat : (Drug_qfniygqugq,Eff_umcccbzaik) 
Drug_ylcnhbjgmh : (Drug_iectnlllxo,Eff_kpaieyxioz) 
Drug_xlfwiatmld : (Drug_ncpdgtrmfe,Eff_xzouesddpp) 
Drug_axklhizwbo : (Drug_erhjocmgsd,Eff_foxumngbxs) 
Drug_slhpdhyzym : (Drug_fnkluvylje,Eff_acocoaexgj) 
Drug_vagnhohehq : (Drug_zgftbdmqop,Eff_kplvcrqzgk) 
Drug_yoyisulubc : (Drug_qgzixrzneq,Eff_rfhrbiokux) 
Drug_wtqulurbvz : (Drug_balwhfuiyw,Eff_ruchyjmfsf) 
Drug_vaycxqttex : (Drug_fwbzjuzsob,Eff_lzlbmzwkos) 
Drug_neaurvilke : (Drug_kgzjoziges,Eff_euhvhtgozr) 
Drug_xsxnsbknfd : (Drug_glhvmchhcq,Eff_ylqrqqrxwr) 
Drug_ubhwdklqwx : (Drug_okwkherfie,Eff_ubtyfzfhcl) 
Drug_nffsicqqrm : (Drug_tvkchovvom,Eff_nrubfydoaz) 
Drug_vclalpkcwj : (Drug_iekjxzczvl,Eff_ymiivkoveq) 
Drug_mzenzyeqxl : (Drug_eahnilzbcx,Eff_mporzcmodt) 
Drug_wcnodgeqws : (Drug_betbygtumc,Eff_hpkiiqkkpt) 
Drug_wznqduxfld : (Drug_rlqzbtyext,Eff_yaqnordiew) 
Drug_zzdvsoinyj : (Drug_iibcaisztl,Eff_xbotwmkkhn) ; (Drug_dpaxmhminw,Eff_xbgrggqnuo) ; (Drug_uzrwibikuk,Eff_xzfrjyjcol) 
Drug_uyunfyffmm : (Drug_skinruskdd,Eff_zosrywdiuh) 
Drug_ljhmdlemxo : (Drug_ychqwpfxbw,Eff_sqxhqwbelg) 
Drug_perfihepci : (Drug_cawsdriujr,Eff_raiahnlymm) 
Drug_isvrspliwc : (Drug_ghlouptvyi,Eff_ifywfupvsy) 
Drug_nbknncmmqk : (Drug_icmqshusab,Eff_uagbgmsnoi) 
Drug_kghkxmbacm : (Drug_zwrxbinbtx,Eff_sawgbsnbwn) 
Drug_gdurybwxtt : (Drug_amqjtfbojx,Eff_bamdrinoqz) 
Drug_xcaxfjelnx : (Drug_qhsplqpeyj,Eff_mkcrebcmfj) 
Drug_oxwcwqelfi : (Drug_sbyikyjzxq,Eff_pqikhscmyq) 
Drug_retmwkeknl : (Drug_gflunezsgi,Eff_wmjadfyxev) 
Drug_yzxqgppprq : (Drug_rudktbgmab,Eff_yfxhybsusd) 
Drug_wlbkmxdegb : (Drug_aiwokynobe,Eff_djtoyyrfmb) 
Drug_xzwebjksdp : (Drug_ghbnysetqc,Eff_ocnfalfpnn) 
Drug_rglddrhnxv : (Drug_rcligjibpt,Eff_arjysyuqql) ; (Drug_omuqvnhsdn,Eff_mgyhkxaeqt) 
Drug_xumvcqpfsv : (Drug_gvtavbblki,Eff_xywkofujni) 
Drug_sxyilcsdlb : (Drug_mbosiyfijf,Eff_daoqphffay) 
Drug_eqfamdesrb : (Drug_btaujnfuph,Eff_iygojqivlr) 
Drug_wzbakpbckt : (Drug_bkdergywkk,Eff_xiumhdodhi) 
Drug_rxxuqvmiry : (Drug_egrfliehdc,Eff_mgkcgtwrgq) 
Drug_oycrsdfjho : (Drug_xdzysuuprh,Eff_laneghxrjj) 
Drug_vucfkjxyrw : (Drug_pcuvmxlhea,Eff_olztlgluns) 
Drug_uoorfntvei : (Drug_xdsiuubzou,Eff_xmpnxrsyxb) 
Drug_ygqfthyadr : (Drug_elcosaufjl,Eff_qsjpakcfoq) 
Drug_ttbmysheth : (Drug_mkblnlleeg,Eff_gafwpfajak) 
Drug_ziefldhzri : (Drug_tfordezpgg,Eff_equubuxuqb) 
Drug_xgoihxulum : (Drug_zpflmdfdps,Eff_lmejwuxkzc) 
Drug_dzcwuxqrtb : (Drug_jlpdhapnxx,Eff_witkhetlzj) 
Drug_pigoacjonq : (Drug_asgxuayspu,Eff_oevnbgvlbo) 
Drug_osujkcwjcq : (Drug_bnfbzdicmw,Eff_wjfpzekkbx) 
Drug_glsitwlvgw : (Drug_eterffdhay,Eff_gbdbnhvptl) 
Drug_nhiqkgrxdl : (Drug_mnrkymaiab,Eff_agjiuwrubd) 
Drug_eaehdeicdg : (Drug_uwywfnsezh,Eff_dupoavuvqr) 
Drug_medeqvutdz : (Drug_bjmheogtza,Eff_whtqvbbjbs) 
Drug_mowinbnkgg : (Drug_gsiqgvjxio,Eff_bbgegetqsh) 
Drug_hiincxikke : (Drug_rfsielexua,Eff_yubqwptmce) 
Drug_jymvkofict : (Drug_sdawnxseht,Eff_ergjrzjnfc) 
Drug_eijprdnwah : (Drug_egshnubnbf,Eff_kndrcnbaff) 
Drug_rufknwevdf : (Drug_ndshgdmsme,Eff_mqrappukve) 
Drug_gdqeeukewv : (Drug_mapqannfrm,Eff_wlrojlgruc) 
Drug_zntwprayuw : (Drug_ecnbkisjej,Eff_psimieiift) 
Drug_ghkknvvsle : (Drug_qfwoyibzxl,Eff_ddhihfbcbc) 
Drug_bmjztyrggf : (Drug_mhsawwyuse,Eff_xzlvfkhoqg) 
Drug_jkyexbdqgp : (Drug_gryldlylun,Eff_drswbfrhxb) 
Drug_mplswowvil : (Drug_zxkikfznbn,Eff_kasufvnkfe) 
Drug_dloxkhmatg : (Drug_gvodzrqpck,Eff_svxeucsvse) 
Drug_bodznofrfg : (Drug_dwixqarldc,Eff_vwtszyczqs) 
Drug_ayxowblvpe : (Drug_fnrkugbzli,Eff_rzwotjbnyo) 
Drug_dbaufwfywq : (Drug_hyeajdjdnw,Eff_hdchvujxsk) 
Drug_sidontodaw : (Drug_etwprloymo,Eff_obvosbzpuw) 
Drug_zyayfagqpq : (Drug_xdqsuzshua,Eff_nueaqvrlxj) 
Drug_comicvscpq : (Drug_zuizjdberg,Eff_cbeqkuqtdj) 
Drug_yqziyiqwby : (Drug_xrhmjnaqhq,Eff_ywwnkkbegp) 
Drug_hnudqfvwlr : (Drug_zvqwryjpgu,Eff_kpihkulffn) 
Drug_gqelhnxoup : (Drug_iwojpjjysi,Eff_gxgkqkumtj) 
Drug_igrntqwaja : (Drug_zjxzllkpkk,Eff_aqnohjhnfr) 
Drug_lzkzvljyxs : (Drug_qzdsiqnobh,Eff_dgjodvtaku) 
Drug_xiwuvtzkzz : (Drug_lwxvlrjioy,Eff_wsxswfyyhl) 
Drug_cgtrlbmknb : (Drug_zpqsxrdbhy,Eff_mfbejveicm) 
Drug_syxzegxqmw : (Drug_qxzhnfqfwj,Eff_fykdnlgiee) 
Drug_ypifuyqtqc : (Drug_cozfellbka,Eff_vyacrjmvnz) 
Drug_brjnashqyj : (Drug_wzyzpakrir,Eff_wasbytwiqy) 
Drug_zolusovcxz : (Drug_ncdcnlhhhd,Eff_rshkkhfnqs) 
Drug_lzqgwuigic : (Drug_lbxpdiurna,Eff_zuxaiiejay) 
Drug_tctogcddca : (Drug_mjnkztphhk,Eff_yljbogzuwv) 
Drug_dwabsvoefa : (Drug_huciezrvzk,Eff_paaqhtepig) 
Drug_gnotjjfnlt : (Drug_gqdkeemgud,Eff_iyepaneedx) 
Drug_ynynduijcm : (Drug_ytzwqvnple,Eff_muunkqfutg) 
Drug_rqnjhgrmlz : (Drug_tzxsernylj,Eff_exswypnrie) 
Drug_evdftewsrd : (Drug_ljmkhjxnth,Eff_ltdugvwhun) 
Drug_cqxlpcfkdi : (Drug_yoqsthleli,Eff_pkyvmcobwp) 
Drug_rczgywzwny : (Drug_fojsdmtynj,Eff_erzshlgiet) 
Drug_tygiyylwzc : (Drug_vrcfqjwpau,Eff_sunembpcaj) 
Drug_mnxnbmxguu : (Drug_geaeedpzyp,Eff_yvsakrdrhb) 
Drug_efbirpajjm : (Drug_fgzdfhhaal,Eff_seypvzlszj) 
Drug_vdujggaonk : (Drug_jywfqdnzoc,Eff_xxhpeyplrn) 
Drug_iktolmdipz : (Drug_ahkaxmbuud,Eff_lczjqbfkto) 
Drug_wjcvzfezts : (Drug_rxjjuhxeac,Eff_aabftpvwia) 
Drug_tgxrxkhkrc : (Drug_egmhnavebr,Eff_nwbotbkbvq) ; (Drug_uavesfxkzn,Eff_xrckvvrmsz) 
Drug_mlotlxspsm : (Drug_fdcjlzgbrm,Eff_mznxdvvlpb) 
Drug_ppifihykth : (Drug_njeqjavpqb,Eff_yarvsmurdd) 
Drug_uptornohvp : (Drug_pfisksheuc,Eff_rtuzuqckwr) 
Drug_qnkuvplrhq : (Drug_lzlnlkslve,Eff_xnwowilypx) ; (Drug_acmdyygtos,Eff_qirstcxwtn) ; (Drug_ndglsaqtir,Eff_kgcxvasvtw) 
Drug_zxxuzcmgrz : (Drug_yispxzbxjf,Eff_rdyhuicqcz) ; (Drug_tcnnzxtpxo,Eff_ercwbljzig) 
Drug_mcgrafmkcw : (Drug_pytnagvabl,Eff_ovlbrvvnrg) 
Drug_fqjiihjvbp : (Drug_iazfuwyaan,Eff_mohehpjcxv) 
Drug_ofkncsvrvi : (Drug_vkiptgxzod,Eff_ojoyjgmayo) ; (Drug_oyvyezemqe,Eff_ioxqnahdjk) 
Drug_xcgfchccke : (Drug_gxgzcieluf,Eff_ldbggxrhia) 
Drug_tbwijcvknn : (Drug_twzomimdvv,Eff_uezspkbwpi) 
Drug_tkewctfojk : (Drug_furvqzcbqa,Eff_ymitbskyjc) 
Drug_uqzvctongx : (Drug_oehedxmzjd,Eff_iwtscshdas) 
Drug_enrwiorach : (Drug_dpqgltlnfi,Eff_wcykmhwagx) 
Drug_dziznhjbxt : (Drug_kfonsdckmh,Eff_fczthpeyfg) 
Drug_depaghhvzk : (Drug_qiukchckoj,Eff_rkvjqjymlh) 
Drug_htmrjxaryh : (Drug_kklzjrqyim,Eff_ozqrheuasu) 
Drug_wiwrgmuvlc : (Drug_alfaopmqmq,Eff_aqxrgzsyaa) 
Drug_crakjhepor : (Drug_zzuachfrim,Eff_kchzadffbv) 
Drug_zhajypuwxz : (Drug_hpbyklhtyl,Eff_xqiatnzlbo) 
Drug_ekumgixrte : (Drug_yqilganjqu,Eff_mutvyqaiog) 
Drug_fszyolkyuk : (Drug_qwohjmhmhq,Eff_yxfczeielm) 
Drug_izcfywfjqt : (Drug_xkxurwtpmj,Eff_oqheuyxjff) 
Drug_nmcvpmfeuq : (Drug_itbmjckjdx,Eff_drpahhhzcb) 
Drug_qqumunyxwz : (Drug_jszgytpwke,Eff_emsngpmzbu) 
Drug_uuvpcolmxu : (Drug_nvwdfadfbz,Eff_eoimgilwsh) 
Drug_rbacsqdyti : (Drug_hppbnnvtuk,Eff_xisxlwdlah) 
Drug_vghzmwbmvj : (Drug_dwzkztetbk,Eff_yntmzebfsn) 
Drug_bamsfikoet : (Drug_pbvsudcmzr,Eff_ydggxrhntl) 
Drug_dlsttratrx : (Drug_kramsecshk,Eff_rktjgfchey) 
Drug_unboacrovl : (Drug_zhiktaowdy,Eff_rijvclkqpo) 
Drug_kqvrdjgzyt : (Drug_ytymhkcwgm,Eff_jywpalzppt) 
Drug_hucrfuyapf : (Drug_cedmpzrwah,Eff_xnzfjynhqh) 
Drug_klrfgmjaus : (Drug_wosufdxqky,Eff_lrmrghbsma) 
Drug_bijpbhsyxy : (Drug_qifggmlsgz,Eff_qzpepdgbxw) 
Drug_kasqygqfes : (Drug_iaopyrhrnu,Eff_paxjbjiysj) 
Drug_eoipjdtktm : (Drug_ipohxprigw,Eff_nlithqhkjh) ; (Drug_uvbiuiwbfm,Eff_faohejyjye) 
Drug_cmiacpdesn : (Drug_preumuqgnt,Eff_jqpprfqart) 
Drug_qjnyumdntt : (Drug_uirkwchacs,Eff_bfwftszroa) 
Drug_eqdrcxtpam : (Drug_jgniscawqu,Eff_afaxqlgwop) 
Drug_zsgmjfeqnv : (Drug_adtbhjpvfo,Eff_gfjkmeadyd) 
Drug_uddedhnwbr : (Drug_ttgxxdvmfv,Eff_fjpqkhqrmz) 
Drug_yywkqegsbg : (Drug_rhqjhygylj,Eff_uarsabhyjb) 
Drug_cqiclxogsl : (Drug_fggjkzbkuw,Eff_cdqpplkocz) ; (Drug_uoexwcsrsf,Eff_tnzkomovgl) 
Drug_xhykftzxyu : (Drug_thzhsdhvbm,Eff_alzuyypxfd) 
Drug_vctmnhrqev : (Drug_pbotobxsio,Eff_lavxcphoii) ; (Drug_qwsbwnwlbe,Eff_htzvpdrlat) 
Drug_zcqmknfcdx : (Drug_upkzmbkwtt,Eff_erplzuhpdt) 
Drug_iajkjpyqzt : (Drug_yqpezypkmh,Eff_apbtwkhwvu) 
Drug_ulffoehyze : (Drug_snkuixitvt,Eff_jnxhhcwidt) 
Drug_emepyoqqut : (Drug_rhzplnvapc,Eff_nfukcnzpsr) 
Drug_yscbwdswuz : (Drug_shmagomvwi,Eff_avmvxkwxev) 
Drug_qadffdvmqy : (Drug_ccssupjlrf,Eff_oqadfwvmre) 
Drug_uhzquxropb : (Drug_bquciloxsq,Eff_flzrevgrsx) ; (Drug_kscadiyxfb,Eff_zwieeofcox) ; (Drug_elxieyxgxs,Eff_ftvuyuaejs) 
Drug_ddogegdypi : (Drug_kcwoplrqgq,Eff_uqenrskfse) 
Drug_sfhjwwchhv : (Drug_gknclamblg,Eff_fsvdolmctd) 
Drug_snqgklxkwj : (Drug_agnwzdzwti,Eff_zrmbgvjthn) 
Drug_duowigrgue : (Drug_nlcuivcfsg,Eff_qhtswqnhfv) 
Drug_kxhebegpez : (Drug_rplcssbnim,Eff_zfmaveqsst) 
Drug_lnluorqoms : (Drug_cufcyrvyic,Eff_ejhvfplonl) 
Drug_djpiisjlid : (Drug_nigraltkta,Eff_gilbreznez) 
Drug_qaeerqdvwf : (Drug_azqvzahoms,Eff_zoptqojpzp) 
Drug_llnvedoiwo : (Drug_twqanrnfsy,Eff_vhwivonzdd) 
